name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Anthodiscus amazonicus,6686,Anthodiscus amazonicus,15001-2,Caryocaraceae,Anthodiscus,amazonicus,spec.,Brittonia 2: 156. 1936 ,Brittonia,1936,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/15001-2,tax_nov,IPNI,NA
Anthodiscus obovatus,34607,Anthodiscus obovatus,15008-2,Caryocaraceae,Anthodiscus,obovatus,spec.,Fl. Bras. (Martius) 12(1): 358. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144595&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/15008-2,tax_nov,IPNI,NA
Caryocar coriaceum,16719,Caryocar coriaceum,47861-2,Caryocaraceae,Caryocar,coriaceum,spec.,Fl. Bras. (Martius) 12(1): 352. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144592&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47861-2,tax_nov,IPNI,NA
Caryocar crenatum,47889,Caryocar crenatum,47863-2,Caryocaraceae,Caryocar,crenatum,spec.,"Fl. Bras. (Martius) 12(1): 351, t. 72. 1886 [1 Apr 1886] ",Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144592&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47863-2,tax_nov,IPNI,NA
Caryocar cuneatum,16720,Caryocar cuneatum,47864-2,Caryocaraceae,Caryocar,cuneatum,spec.,Fl. Bras. (Martius) 12(1): 352. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144592&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47864-2,tax_nov,IPNI,NA
Caryocar dentatum,34608,Caryocar dentatum,47865-2,Caryocaraceae,Caryocar,dentatum,spec.,Bull. Torrey Bot. Club 60: 380. 1933 ,Bull. Torrey Bot. Club,1933,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=380&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47865-2,tax_nov,IPNI,NA
Caryocar gracile,34612,Caryocar gracile,47871-2,Caryocaraceae,Caryocar,gracile,spec.,Fl. Bras. (Martius) 12(1): 350. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144591&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47871-2,tax_nov,IPNI,NA
Caryocar intermedium,47892,Caryocar intermedium,47872-2,Caryocaraceae,Caryocar,intermedium,spec.,Fl. Bras. (Martius) 12(1): 352. 1886 [1 Apr 1886] ,Fl. Bras. (Martius),1886,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/144592&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47872-2,tax_nov,IPNI,NA
Caryocar krukovii,47893,Caryocar krukovii,47873-2,Caryocaraceae,Caryocar,krukovii,spec.,Trop. Woods 72: 17. 1942 ,Trop. Woods,1942,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/47873-2,tax_nov,IPNI,NA
Caryocar microcarpum,34613,Caryocar microcarpum,47874-2,Caryocaraceae,Caryocar,microcarpum,spec.,Arch. Jard. Bot. Rio de Janeiro 4: 133. 1925 ,Arch. Jard. Bot. Rio de Janeiro,1925,Brazil (Southern America),NA,NA,www.ipni.org/n/47874-2,tax_nov,IPNI,NA
Caryocar pallidum,22409,Caryocar pallidum,47876-2,Caryocaraceae,Caryocar,pallidum,spec.,J. Arnold Arbor. 20: 297. 1939 ,J. Arnold Arbor.,1939,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=297&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47876-2,tax_nov,IPNI,NA
Caryocar parviflorum,47894,Caryocar parviflorum,47877-2,Caryocaraceae,Caryocar,parviflorum,spec.,J. Arnold Arbor. 20: 298. 1939 ,J. Arnold Arbor.,1939,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=298&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47877-2,tax_nov,IPNI,NA
Caryocar toxiferum,47898,Caryocar toxiferum,47881-2,Caryocaraceae,Caryocar,toxiferum,spec.,"Vellosia 1: 12, pl. 6. 1888 ",Vellosia,1888,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=12&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/47881-2,tax_nov,IPNI,NA
